Notes,predicted_label,confidence
placed on IL with Achilles injury / sprained ankle / illness,injury,0.3487647682648799
strained Achilles (DTD),DTD/DNP,0.21394546974322395
sore right Achilles (DTD),soreness,0.36074154841718703
placed on IL with sore/strained right Achilles,soreness,0.23345018147126553
placed on IL with hamstring injury / rest,injury,0.23686620237929668
placed on IL with gastroenteritis,injury,0.4062904363534335
placed on IL with right knee injury,injury,0.518009025628029
placed on IL with strained right calf,injury,0.3248811909029323
strained right leg (DNP),DTD/DNP,0.22270726164564125
placed on IL for rest (out for season),long term injury,0.258286969158165
sore left hip (DNP),soreness,0.24424726884293732
rest (DNP),other reasons,0.2202453510534021
"fined $25,000 by NBA for failing to make himself available to the media following game",fined,0.37992449208134194
"fined $25,000 by NBA for escalating altercation",fined,0.2565143565447435
strained left abductor (DNP),DTD/DNP,0.2809190690048952
left ankle inflammation (DNP),DTD/DNP,0.2973318592130745
placed on IL with left ankle inflammation,injury,0.3696542499339025
placed on IL with left knee injury,injury,0.560385738794251
sore left knee (DNP),soreness,0.4122563057090642
placed on IL with sore left hamstring,soreness,0.30180231836750315
sore left shoulder (DNP),soreness,0.3574887234221253
placed on IL with left wrist injury,injury,0.4906470963956057
arthroscopic surgery on left wrist (out for season),surgery,0.2582701313824514
surgery on heart to repair aortic aneurysm (out for season),surgery,0.28773191689631333
placed on IL with heart condition (out for season),long term injury,0.3699481389366991
placed on IL with strained left hamstring,injury,0.34852007639925964
strained hamstring (DNP),DTD/DNP,0.241308816131223
right finger injury (DNP),injury,0.20678706970513946
sprained right wrist (DNP),injury,0.1969462877967213
placed on IL with sprained right wrist,injury,0.40818924835807796
suspended by NBA for 2 games for throwing ball at referee,suspension,0.2518307529055852
sore lower back (DNP),soreness,0.21779692908212825
suspended by NBA for 1 game for bumping referee,suspension,0.3502000226745196
hip injury (DNP),injury,0.23319397349060192
suspended by NBA for 1 game for making contact with referee and failing to cooperate with NBA investigation,suspension,0.30441769794634416
torn ACL in right knee (DNP),injury,0.2546759324961389
placed on IL with torn ACL in right knee (out for season),long term injury,0.3685336171282335
surgery on left knee to repair torn ACL (out for season),surgery,0.3177655930607298
recovering from surgery on left knee to repair torn ACL (out indefinitely),surgery,0.40539068550463764
placed on IL recovering from surgery on left / right (P) knee to repair torn ACL,surgery,0.36403751818661334
rest / sore right knee (DNP),soreness,0.3871117826488285
knee injury / rest (DNP),injury,0.1839617694882178
bruised left shin (DNP),DTD/DNP,0.46351432848343505
surgery on fractured left finger (out indefinitely),long term injury,0.29334543172304256
placed on IL with left hand injury,injury,0.5936119272761472
surgery on left hand to remove screw,surgery,0.17278305441957034
patellar tendinitis in left knee (out indefinitely),long term injury,0.3354345188123138
patellar tendinitis in left knee (DNP),injury,0.160733808891096
strained patellar tendon in left knee (DNP),injury,0.2554208621807331
sprained right calf (DNP),DTD/DNP,0.20661382812614282
strained right calf (DNP),DTD/DNP,0.28962591889883443
player began serving suspension by NBA for 10 games for pleading guilty to carrying a concealed weapon,suspension,0.2546732350227041
placed on suspended list,suspension,0.2099543509633859
reinstated from suspended list,returned,0.18378456937856158
broken right wrist (out indefinitely),injury,0.2592079921385807
placed on IL withi broken right wrist,injury,0.4611480527844676
surgery to repair broken right wrist,surgery,0.21295828055374313
placed on IL with sprained right ankle,injury,0.3945063052179739
placed on IL with illness / flu,illness,0.4927104636090133
placed on IL with birth of child,injury,0.7035313093461577
placed on IL with illness/flu,illness,0.4927104636090133
placed on IL with sore left (P) / right (CBC) ankle,soreness,0.33756521816656204
arthroscopic surgery on right ankle to remove bone spurs (out indefinitely),surgery,0.225416527413208
"fined $15,000 by NBA for throwing object into stands during game",fined,0.27411363184665255
placed on IL with bone bruise in right heel,injury,0.3954740462018379
toe injury / rest (DNP),other reasons,0.1727526346441777
sore ankle (DNP) (P),soreness,0.361308772156061
personal reasons (DNP) (CBC),other reasons,0.5983136492526184
sore left ankle (P) / sore right ankle (CBC) (DNP),soreness,0.4799786968697312
placed on IL with bruised right knee,injury,0.3310977236137044
sore right calf / sore left knee (DNP),soreness,0.5806728296315264
"fined $35,000 by NBA for comments about officiating following game",fined,0.27171766518312584
hip injury (DTD),DTD/DNP,0.24027133191961983
sore right knee (DNP),soreness,0.4568178151087303
sore right leg (DNP),soreness,0.45158507947975024
sore right hip (DNP),soreness,0.35280578901557985
sore right leg / Achilles tendon (DNP),soreness,0.34109831842546995
placed on IL with sore right leg,soreness,0.4604567567820768
placed on IL with strained right calf muscle,injury,0.3153692795749584
placed on IL with wrist injury,injury,0.5794284624756566
bruised left thigh (DNP),DTD/DNP,0.46351432848343505
placed on IL with bruised left thigh,injury,0.3682480631190085
sprained left ankle (DTD),DTD/DNP,0.4076706541772981
bruised left quadriceps (DNP),DTD/DNP,0.4066562337442666
personal reasons (DNP),other reasons,0.6585980923681071
quadriceps injury (DTD),DTD/DNP,0.2651891210496672
placed on IL with sore neck,soreness,0.27459078744935417
sprained left ankle (DNP) (P),DTD/DNP,0.34543212255714645
placed on IL with sprained left ankle (F),injury,0.34855877500224147
sprained left ankle (DNP) (F P),DTD/DNP,0.34543212255714645
torn tendon in left ankle (DNP),injury,0.2835718677523229
placed on IL with torn tendon in left ankle,injury,0.501299421475477
surgery on left foot and ankle to repair torn tendon,surgery,0.367600353495975
recovering from surgery on left foot and ankle to repair torn tendon (DNP),surgery,0.3973009190645305
sore right elbow (DTD),soreness,0.37445447313404184
sore right elbow (DNP),soreness,0.3921806975947234
placed on IL with concussion,injury,0.7035313093461577
sprained right big toe (DNP),injury,0.19329458126427795
illness (DNP),illness,0.6335718553341558
elbow injury (DNP),DTD/DNP,0.18329766510160309
surgery to repair hernia (out indefinitely),surgery,0.456547105385916
broken left little finger (out indefinitely),long term injury,0.24384106164898312
surgery to repair broken left little finger (out indefinitely),surgery,0.2349226441380392
placed on IL recovering from surgery to repair broken left little finger (out for season),surgery,0.2688960039564233
stomach virus (DTD),illness,0.482231916630924
placed on IL (F),injury,0.7035313093461577
placed on IL with toe injury,injury,0.6148653101261262
groin injury (DTD),DTD/DNP,0.19469167008836177
strained right adductor muscle (DNP),DTD/DNP,0.25434092592061175
placed on IL with groin injury,injury,0.4822628025194816
sore right heel (DNP),soreness,0.3056687756747158
surgery to repair separated left shoulder (out indefinitely),surgery,0.24794161908791726
left thumb injury (out indefinitely),DTD/DNP,0.22279717027697366
placed on IL with left thumb injury,injury,0.4607562236948454
activated from iL,returned,0.414050888258079
placed on IL with partially torn right quadriceps,injury,0.41186401104899995
strained right quadriceps (DNP),DTD/DNP,0.29494696587676206
placed on IL for family reasons,other reasons,0.34920651369620515
placed on IL with bruised ribs,injury,0.3958547213161034
fractured cheekbone (out indefinitely),long term injury,0.33108686423452716
placed on IL with fractured cheekbone,injury,0.2794516050448093
torn tendon in right ankle (out for season),long term injury,0.40825157824579145
torn tendon in right ankle (DNP),injury,0.22403803685393667
placed on IL with torn tendon in right ankle (out for season),long term injury,0.3716718341440082
surgery on right ankle to repair torn tendon (date approximate),surgery,0.2491080581182236
placed on IL with right ankle injury (out for season),long term injury,0.3920729845600503
placed on IL with fractured bone in right wrist,injury,0.29650516992693743
fractured bone in right wrist (DNP) (F),long term injury,0.16442717190649292
placed on IL (F) (out for season),long term injury,0.4096439316770127
surgery on right knee to repair torn muscle,surgery,0.35171545350104455
blood clot in right lung (out for season),long term injury,0.35716106519935426
placed on IL with bruised left knee,injury,0.38422062507155125
bruised left knee (DNP),DTD/DNP,0.30673206760209387
sore back (DNP),soreness,0.5854262445858681
sprained AC joint in right shoulder (DNP),DTD/DNP,0.15868708869722659
placed on IL with left Achilles injury (out for season),long term injury,0.3168532297381595
surgery to repair torn left Achilles tendon (out for season),surgery,0.32543119488212513
strained lower back (DNP),DTD/DNP,0.22656056836161753
back spasms (DNP),illness,0.18114341136338366
placed on IL with back injury,injury,0.5898973119579357
sternum injury (DTD),DTD/DNP,0.2638571829396578
wrist injury (DTD),DTD/DNP,0.22275409441866306
strained left groin (DNP),DTD/DNP,0.2066633466441385
placed on IL with strained left groin (out for season),long term injury,0.3119165329529191
surgery on right wrist (out indefinitely),surgery,0.24073322898354613
right hip pointer (DNP),injury,0.2920946921876268
surgury on right knee (out indefinitely),long term injury,0.40507810828321644
placed on IL with sore right knee,soreness,0.4254989628184472
death of grandmother (DNP),other reasons,0.3630122413332354
right ankle tendinitis / knee tendinitis (CBC) (DNP),injury,0.17168918959494867
right knee tendinitis (DNP),injury,0.18747694390281028
strained abductor muscle (DNP),DTD/DNP,0.20983511220366527
strained groin (DNP),DTD/DNP,0.17083788056806998
sore right ankle (DNP) (P),soreness,0.4992135612936927
DNP (P),illness,0.2696037711008992
suspended by NBA for 1 game,suspension,0.4625642666290523
suspended by NBA for 1 game for reckless driving,suspension,0.4625642666290523
knee injury (DTD),DTD/DNP,0.2005644692475984
sore left knee (CBC Fox) / ankle (DNP),soreness,0.39261880823674145
sore right ankle (P) / right foot injury (CBC) (DNP),soreness,0.28355053681856796
sprained right foot (DNP),injury,0.242407798433799
sore right foot (DNP),soreness,0.2915592809137123
stress fracture in right foot (DNP),injury,0.20123763188371532
placed on IL with stress fracture in right foot (out for season),injury,0.2654176251797003
right knee injury (DTD),DTD/DNP,0.20663979539951088
"fined $15,000 by NBA for verbally abusing referee following game",fined,0.1843609683037624
concussion (DNP),illness,0.2696037711008992
"fined $10,000 by NBA for flagrant foul",fined,0.16472870282826488
suspended by NBA for 2 games for flagrant foul,suspension,0.298250799485371
sprained right shoulder (DNP),injury,0.1648566883617664
placed on IL with right shoulder injury,injury,0.4614359408270287
torn labrum in right shoulder (DNP),long term injury,0.19965194049386298
placed on IL with torn labrum in right shoulder (out for season),long term injury,0.37465529638826783
bruised right knee (DTD),DTD/DNP,0.3720053202789471
placed on IL with bone bruise in right knee,injury,0.40893216943106775
right knee injury (DNP),injury,0.2228936694082575
right knee injury (DNP) (P),injury,0.2228936694082575
arthroscopic surgery on left knee (out indefinitely),surgery,0.2783063071425044
placed on IL recovering from arthroscopic surgery on left knee (out for season),surgery,0.25796728809128716
surgery on left knee to repair cartilage damage (out for season),surgery,0.36564434432846865
recovering from surgery on left knee (out for season),surgery,0.28833534186849097
placed on IL with recovering from surgery on left knee (out for season),surgery,0.27690619344033063
arthroscopic surgery on left knee (out for season),long term injury,0.28838094364652184
placed on IL with sprained MCL in left knee,injury,0.4741045714654558
sprained MCL in left knee (DNP) (F),injury,0.2135736943329566
placed on IL with death in family,other reasons,0.312845938590384
placed on IL with torn ACL in left knee (out for season),long term injury,0.3974052520148119
placed on IL with sprained ankle,injury,0.44168951029646186
placed on IL with strained left oblique muscle,injury,0.39361243434850685
sore left knee (DNP) (P),soreness,0.4122563057090642
placed on IL (P) with sore left knee (out for season),long term injury,0.3264037468617231
sprained right ankle (DTD),DTD/DNP,0.22817052094433984
sprained left big toe (DNP),DTD/DNP,0.23732655316323617
sprained left big toe / turf toe (DNP),DTD/DNP,0.20624002155783508
placed on IL with sprained left big toe / turf toe,injury,0.3352776275215221
"fined $25,000 by NBA for criticizing referees following game",fined,0.2610567562169573
sore groin (DNP),soreness,0.3077463510466702
placed on IL with strained groin,injury,0.4218866558168565
placed on IL with sore right foot,soreness,0.3262757496236086
torn ACL in left knee (out for season),long term injury,0.4351311487843252
surgery on left knee to repair torn ACL,surgery,0.3250434126291939
placed on IL recovering from surgery on left knee to repair torn ACL (out for season),surgery,0.3654727439196123
sore hamstring (DNP),soreness,0.3117245727424049
torn meniscus in right knee (out for season),long term injury,0.5014421537547687
placed on IL with torn meniscus in right knee (out for season),long term injury,0.46914209630001724
surgery on right knee to repair torn meniscus (out for season),surgery,0.31848180298118356
placed on IL with sprained ankles,injury,0.423961380264714
strained left hamstring (DTD),DTD/DNP,0.3312904552290841
placed on IL with sore left knee / right hip injury,injury,0.43222427921927026
torn medial meniscus in right knee (out indefinitely),long term injury,0.3244124333974277
placed on IL with torn medial meniscus in righ tknee,injury,0.2915469422532359
surgery on right knee to repair torn medial meniscus (out indefinitely),surgery,0.3461992267484088
surgery to repair fractured left orbital bone (out indefinitely),surgery,0.3494304487799947
right hamstring tendinitis/tightness (DTD),DTD/DNP,0.24466426694648294
left knee patellar tendinitis (DTD),DTD/DNP,0.1862467519009974
general soreness (DTD),DTD/DNP,0.36021739923061896
right hamstring tendinitis (DTD),DTD/DNP,0.28042433122063787
strained left abductor (P) / adductor (CBC Y) (DTD),DTD/DNP,0.30718513283568033
placed on IL with bruised left elbow,injury,0.3238349993254056
stress fracture in left fibula (out for season),long term injury,0.34481968658989764
placed on IL with stress fracture in left fibula (out for season),long term injury,0.3148716494738684
illness (out indefinitely),illness,0.3896079028214715
fractured bone in right pinky finger (out indefinitely),long term injury,0.3343616760094606
placed on IL with fractured bone in right pinky finger,long term injury,0.2609750527351139
strained right hamstring (DNP),DTD/DNP,0.28543861447276525
sore right hamstring (DNP),soreness,0.34404256606078176
sore/bruised right knee (DNP),DTD/DNP,0.25785345453572306
left calf injury (DNP),DTD/DNP,0.2798138793351477
strained left calf (DNP),DTD/DNP,0.2759760894473656
torn ligament in left wrist (DNP),injury,0.1622202714556164
placed on IL with torn ligament in left wrist,injury,0.3353843951875419
right hip injury (DNP),injury,0.3113643453163236
placed on IL with adverse reaction to medicine (out for season),long term injury,0.3562304662975121
sore left Achilles (DNP),soreness,0.2877198350967778
sprained left thumb (DNP),DTD/DNP,0.420449272605751
torn ligament in right thumb (out indefinitely),long term injury,0.2008023313739908
surgery on right thumb to repair torn ligament (out indefinitely),surgery,0.3815976701151909
placed on IL recovering from surgery on right thumb to repair torn ligament,surgery,0.4009228141315799
flu (DNP),illness,0.4449592063476925
"fined $50,000 by NBA for making a homosexual slur against a fan during game",fined,0.2610450604160325
right foot injury (DNP),injury,0.2681354399556425
plantar fasciitis in right foot (DNP),injury,0.2348707386880024
placed on IL with plantar fasciitis in right foot,injury,0.4780251575132019
bruised right thigh (DNP),DTD/DNP,0.3793879145079454
"fined $15,000 by NBA for verbally abusing referees during game",fined,0.1947349470247886
"fined $15,000 by NBA for altercation",fined,0.3526882594241253
placed on IL with eye abrasion,injury,0.395831292214918
left knee injury (DTD),injury,0.21157511519105454
placed on IL with general soreness,injury,0.7035313093461577
sore left knee (DTD),soreness,0.3778845088020023
fined $25K by NBA for pushing fan while walking to locker room,fined,0.15298115357887945
sprained left shoulder (DTD),DTD/DNP,0.280573241670899
placed on IL with sprained left shoulder,injury,0.28743178916914724
separated left shoulder (out for season),long term injury,0.4494328836888816
placed on IL with surgery on left shoulder to repair separation (out for season),long term injury,0.29444819859066934
surgery on left shoulder to repair separation (out for season),surgery,0.2963385976790329
right ankle/foot injury (DNP),injury,0.21027802641889975
placed on IL with sprained left knee,injury,0.3925890977930575
"fined $25,000 by NBA for verbally abusing referees",fined,0.1793028069729184
surgery on left ankle (out for season),long term injury,0.34427289165086117
strained right hamstring (DTD),DTD/DNP,0.3337902277853827
bruised (P Y) / fractured (CBC) ribs (out for season),long term injury,0.3063463948382586
wrist injury (DNP),injury,0.19028199965322715
placed on IL with concussion (F),injury,0.7035313093461577
left ankle injury (DNP),DTD/DNP,0.3001130232080781
bruised thigh (DNP),DTD/DNP,0.38292377169041997
sprained MCL in left knee (DTD),DTD/DNP,0.26135293354059835
placed on IL with strained right groin,injury,0.3723733556321139
placed on IL with bruised left calf,injury,0.2736447456497852
placed on IL with bruised right shoulder,injury,0.308089769556345
bruised right shoulder (DNP),DTD/DNP,0.24005274413379335
"fined as head coach $25,000 by NBA for confronting a referee",fined,0.2634243441474873
placed on IL with fractured left foot,injury,0.368158106008335
placed on IL with sprained left foot,injury,0.3329872243851679
surgery on left foot (out indefinitely),surgery,0.3356510868400548
death of father (DNP),other reasons,0.29637842171046774
ankle injury (DNP),DTD/DNP,0.21992234513535708
placed on IL with finger injury,injury,0.4672149963316827
fractured left hand (out indefinitely),long term injury,0.2414713724916369
fractured left hand (DNP),injury,0.21573485606338583
placed on IL recovering from surgery on left hand to repair fractured bone (out for season),surgery,0.32221539083289263
placed on IL with back spasms,injury,0.44853337768442736
placed on IL with torn patella tendon in right knee (out for season),long term injury,0.3731773623826631
surgery on right knee to repair torn patella tendon (out for season),surgery,0.3383293451838561
placed on IL with stomach flu,illness,0.35666001276451964
rest / sprained left ankle (DTD),DTD/DNP,0.37609306438812284
strained left hip (DTD),DTD/DNP,0.31449709242403706
placed on IL with strained left hip,injury,0.3832836634982676
strained right groin (DTD),DTD/DNP,0.29965810474881793
sore elbow (DTD),soreness,0.2861394908780004
torn calf muscle in left leg / strained left calf (out indefinitely),long term injury,0.3113429312970844
placed on IL with strained left calf,injury,0.30533227794702933
placed on IL with sore left Achilles,soreness,0.2735746968732588
strained left calf (DTD),DTD/DNP,0.3239249742278899
placed on IL with strained hamstring,injury,0.35993359844289224
strained left groin (DTD),DTD/DNP,0.2871855653213289
strained left oblique (DTD),DTD/DNP,0.3582819272665383
placed on IL with strained left oblique,injury,0.4243687778288226
placed on IL with strained left rib muscle,injury,0.39361243434850685
placed on IL with strained left oblique (out for season),long term injury,0.3600733154554279
strained left adductor (DTD),DTD/DNP,0.32823274092230403
torn right Achilles tendon (out for season),long term injury,0.31327638173312083
placed on IL with torn right Achilles tendon (out for season),injury,0.31574789344774246
placed on IL with knee injury,injury,0.5561599570977188
placed on IL with sore knee,soreness,0.3681181270358656
placed on IL with stiff neck / back injury (CBC),injury,0.3116633988164729
placed on IL for personal reasons (out for season),other reasons,0.5591245043983845
stress fracture in fifth metatarsal in right foot (out indefinitely),long term injury,0.18024171326156802
surgery on right foot to repair stress fracture in fifth metatarsal (out indefinitely),surgery,0.31600769436835
birth of daughter (DNP),illness,0.2696037711008992
suspended by team for 1 game for violating team rules,suspension,0.29822558678432015
placed on IL for suspension,injury,0.27734204227771136
stiff lower back (DNP),DTD/DNP,0.23502142367710707
placed on IL with strained right hip flexor,injury,0.4897022758897869
placed on IL with strained right hip flexor (out for season),injury,0.4006943030361166
tightness in lower back (DNP),injury,0.17978616220828483
placed on IL with sprained right knee,injury,0.41212910528155156
sprained right knee (DNP),injury,0.20425702546687222
activated,returned,0.34000193653609145
arthroscopic surgery on right knee (out indefinitely),surgery,0.26601459327592286
placed on IL recovering from arthroscopic surgery on right knee,surgery,0.2812197750406833
strained right adductor (DNP),DTD/DNP,0.290705466860392
sore back (DTD),soreness,0.42215656003888674
placed on IL with right knee effusion,injury,0.4677961884195756
placed on IL with stomach illness,illness,0.47099588996116903
placed on IL with sore right Achilles,soreness,0.40466122111997116
sore/strained right Achilles (DTD),DTD/DNP,0.20547727758920523
placed on IL with strained right Achilles,injury,0.32817948397282626
rest (out for season),long term injury,0.3652282657749499
placed on IL with left ankle effusion / rest,injury,0.387022142270403
placed on IL with left ankle injury (out for season),long term injury,0.36976857072280395
surgery on left ankle to remove loose debris (out for season),long term injury,0.2684604631086027
surgery on left ankle (out indefinitely),long term injury,0.24557446414792458
strained left knee (DNP),injury,0.20803098322935196
placed on IL with sprained/strained left knee,injury,0.3764873206713295
strained right foot (DNP),DTD/DNP,0.25067253178597865
strained left Achilles tendon (DNP),injury,0.22097016144056403
heel injury (DTD),DTD/DNP,0.2225130240380002
sore heel (DNP),soreness,0.2462081173127289
placed on IL with sore heel,soreness,0.3078034389948201
placed on IL with torn plantar fascia in right foot / right heel injury (CBC),injury,0.44319483935260123
strained left hamstring (DNP),DTD/DNP,0.27406323029295715
strained left rotator cuff (DNP),DTD/DNP,0.28399240824095157
fractured left rib (out indefinitely),long term injury,0.3796354693126428
fractured left rib (DNP),DTD/DNP,0.23645157939319011
sinus infection (DNP),illness,0.5343327441659589
unspecified (DTD),other reasons,0.24021074104312115
bruised right forearm (P) / hip flexor injury (DTD),DTD/DNP,0.27977089421531665
placed on IL recovering from surgery on left knee,surgery,0.3257023733777579
left knee injury (DNP),injury,0.24206521854428364
hamstring injury / rest (DNP),other reasons,0.22230199812756432
strained right groin (DNP),DTD/DNP,0.21602812328805157
suspended by NBA for 1 game for throwing elbow at opposing player,suspension,0.3349282437828019
"fined $15,000 by NBA for second flagrant foul",fined,0.18414923169179775
partially torn plantar fascia in left foot (out indefinitely),injury,0.1714742457225531
placed on IL with dislocated right thumb,injury,0.3541876426960481
placed on IL with left foot injury,injury,0.5223431350384243
placed on IL with strained right Achilles tendon,injury,0.3484431251105852
right Achilles tendon injury (DTD),injury,0.21613444350757086
right Achilles tendon injury / rest (DNP),injury,0.2181567560430859
surgery on right knee to repair torn meniscus (out indefinitely),surgery,0.3370863926516368
placed on IL with fractured left big toe,injury,0.36540096135160893
chip fracture in left ankle (out indefinitely),long term injury,0.2348842984215841
fractured right thumb (DTD),DTD/DNP,0.3494781718633094
fractured left thumb (DNP),DTD/DNP,0.3385662289789924
placed on IL with fractured left thumb,injury,0.31248843501288465
surgery on left knee to repair meniscus damage (out for season),surgery,0.3240056615465844
surgery on left knee to repair torn ACL (out indefinitely) (date approximate),surgery,0.2729808317792814
placed on IL recovering from surgery on left knee to repair torn ACL,surgery,0.36533630498194797
surgery on left knee to reconstruct ACL (out for season),long term injury,0.30184534473954805
torn meniscus in right knee (out indefinitely),long term injury,0.4161861647678845
placed on IL recovering from surgery on right knee to repair torn meniscus,surgery,0.37466549775945834
shoulder injury (DTD),DTD/DNP,0.19327126659234864
undisclosed (DTD),DTD/DNP,0.36021739923061896
placed on IL with torn ligaments in right ankle (out for season),long term injury,0.427959669707265
sore right thigh (DTD),soreness,0.5404842961899058
strained groin (DTD),DTD/DNP,0.2554862621437924
placed on IL recovering from surgery on right knee to repair partially torn patella tendon,surgery,0.3441674985649411
placed on IL with fracture in lower back,injury,0.4447252276335225
placed on IL with sore right knee and lower back,soreness,0.3508622181380942
player excused from all team-related activities during police investigation (out for season),other reasons,0.2722306214456734
placed on IL with sore/sprained left ankle,injury,0.2314027309895502
placed on IL with strained left groin,injury,0.4040594786533545
placed on IL with groin injury (out for season),injury,0.30756914514263745
surgery on left hip to repair torn labrum (out for season),surgery,0.27113868782164713
recovering from surgery on left hip to repair torn labrum (out indefinitely),surgery,0.35783475271081805
placed on IL recovering from surgery on left hip to repair torn labrum,surgery,0.3292726944045666
strained groin (DNP) (CBC P),DTD/DNP,0.14823359484254264
tightness in left groin (DNP),injury,0.1661109060902903
placed on IL with separated left shoulder,injury,0.3307642084111767
strained left hip (DNP),DTD/DNP,0.2633172130036505
strained left hip/groin (DNP),DTD/DNP,0.21504996178379884
strained right knee (DTD),DTD/DNP,0.3004851160065157
sore left groin (DTD),soreness,0.3076869567228156
placed on IL with strained right hip (out for season),injury,0.3622356238423111
surgery on right hip to repair torn labrum (out for season),surgery,0.26594540689103396
sore left hamstring (DTD),DTD/DNP,0.2557084242065037
right hip injury (DTD),injury,0.2740265146133704
placed on IL with right groin injury,injury,0.5394569339368755
placed on IL with sore right hip,injury,0.3126019278740993
